provider_name,course_name,unit,chapter,section,unit_structure,unit_structure_filtered,building_block_unique,media_interaction_combination,building_block_count,building_block_changes_count,building_block_unique_count,has_exercises,only_exercises,multiple_exercise_blocks,starts_with_exercise,exercises_in_middle,ends_with_exercise,v_count,a_count,t_count,e_count,d_count,p_count,h_count,choice_count,coding_count,mapping_count,essay_count,short_answer_count,video_duration,audio_duration,word_count,text_duration,exercise_duration,poll_duration,discussion_duration,interaction_duration,media_duration,unit_duration,completion_time,video_proportion,media_proportion,interaction_count,interaction_density,interaction_density_other,0_media_1_interaction_count,0_media_2_interaction_count,1_media_0_interaction_count,1_media_1_interaction_count,1_media_2_interaction_count,1_media_3_interaction_count,2_media_0_interaction_count,2_media_1_interaction_count,2_media_2_interaction_count,2_media_3_interaction_count,graphics_count,code_rows_count,table_count,multi_codal
FutureLearn,Fut-ENT,1_18,1,18,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,142,60,0.0,0,300,300.0,60,360.0,360.0,0.0,0.16666666666666666,1,0.8333333333333334,0.16666666666666666,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,1_19,1,19,eeee,e,e,0-media-1-interaction,4,0,1,True,True,False,False,False,False,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1200.0,0,0,1200.0,0,1200.0,1200.0,,0.0,4,1.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_20,1,20,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,335,180,0.0,0,300,300.0,180,480.0,480.0,0.0,0.375,1,0.625,0.125,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,1_21,1,21,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,663,300,0.0,0,300,300.0,300,600.0,600.0,0.0,0.5,1,0.5,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_22,1,22,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,176,120,0.0,0,300,300.0,120,420.0,420.0,0.0,0.2857142857142857,1,0.7142857142857143,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-ENT,2_01,2,01,vtd,vtd,dtv,2-media-1-interaction,3,2,3,False,False,False,False,False,False,1,0,1,0,1,0,0,0,0,0,0,0,84,0,189,120,0.0,0,300,300.0,204,504.0,588.0,0.4117647058823529,0.4897959183673469,1,0.5952380952380952,0.11904761904761904,0,0,0,0,0,0,0,1,0,0,0,0,0,False
FutureLearn,Fut-ENT,2_02,2,02,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,190,120,0.0,0,300,300.0,120,420.0,420.0,0.0,0.2857142857142857,1,0.7142857142857143,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,2_03,2,03,t,t,t,1-media-0-interaction,1,0,1,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,297,120,0.0,0,0,0.0,120,120.0,120.0,0.0,1.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-ENT,2_04,2,04,dtvtd,dtvtd,dtv,2-media-1-interaction,5,4,3,False,False,False,False,False,False,1,0,2,0,2,0,0,0,0,0,0,0,140,0,91,60,0.0,0,600,600.0,200,800.0,940.0,0.7,0.3617021276595745,2,0.75,0.15,0,0,0,0,0,0,0,1,0,0,1,0,0,True
FutureLearn,Fut-ENT,2_05,2,05,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,264,120,0.0,0,300,300.0,120,420.0,420.0,0.0,0.2857142857142857,1,0.7142857142857143,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,2,0,0,True
